id,name,hp,convertedRetreatCost,number,nationalPokedexNumbers,has_rule,has_ability,has_ancient_trait,is_regulation,weakness_count,resistances_count,num_attacks,Colorless,Darkness,Dragon,Fairy,Fighting,Fire,Grass,Lightning,Metal,Psychic,Water,set_age,is_promo,rarity_score,marketPrice
xy5-2,Kakuna,0.210526316,0.6,0.003267974,0.013658537,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.39838065,0,0.333333333,0.13
xy11-1,Tangela,0.210526316,0.6,0,0.111219512,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.342420826,0,0.166666667,0.11
ex14-1,Banette,0.184210526,0.2,0,0.345365854,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.717023675,0,0.5,7.17
sm12-1,Venusaur & Snivy-GX,0.710526316,0.6,0,0.242926829,1,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.22096956,0,0.666666667,24.11
bw1-1,Snivy,0.157894737,0.2,0,0.482926829,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0.539920057,0,0.166666667,0.36
sm115-1,Caterpie,0.157894737,0.2,0,0.009756098,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.228143897,0,0.166666667,0.08
si1-1,Mew,0.078947368,0,0,0.147317073,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.904273855,0,0,240.96
dp1-1,Dialga,0.236842105,0.4,0,0.471219512,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0.689043763,0,0.5,16.51
sm3-1,Caterpie,0.131578947,0.2,0,0.009756098,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.304806805,0,0.166666667,0.15
pop7-1,Ampharos,0.342105263,0.6,0,0.176585366,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.657784155,0,0.5,6.82
gym2-1,Blaine's Arcanine,0.236842105,0.6,0,0.057560976,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.933791124,0,0.5,78.9
col1-1,Clefable,0.210526316,0.2,0,0.035121951,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0.547606846,0,0.5,2.91
ex9-1,Blaziken,0.289473684,0.4,0,0.250731707,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.763861843,0,0.5,15.3
bw10-1,Surskit,0.131578947,0.2,0,0.276097561,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.45362304,0,0.166666667,0.19
swsh35-1,Venusaur V,0.578947368,0.6,0,0.002926829,1,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.187250179,0,0.666666667,2.38
xy7-1,Oddish,0.131578947,0.2,0,0.04195122,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.379009942,0,0.166666667,0.19
sm1-1,Caterpie,0.131578947,0.2,0,0.009756098,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.32356257,0,0.166666667,0.12
ex13-1,Armaldo δ,0.289473684,0.6,0,0.339512195,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0.726452803,0,0.5,13.01
dv1-2,Dratini,0.105263158,0.2,0.003267974,0.143414634,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0.485702573,0,0.5,4.86
sm12-2,Oddish,0.157894737,0.2,0.003267974,0.04195122,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.22096956,0,0.166666667,0.2
ex9-2,Deoxys,0.184210526,0.2,0.003267974,0.376585366,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.763861843,0,0.5,30
bw1-2,Snivy,0.157894737,0.2,0.003267974,0.482926829,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.539920057,0,0.166666667,0.42
base4-3,Chansey,0.315789474,0.2,0.006535948,0.110243902,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0.957876396,0,0.5,15.01
ru1-3,Ninetales,0.236842105,0.2,0.006535948,0.037073171,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.592087732,0,0,59.99
xy5-3,Beedrill,0.315789474,0,0.006535948,0.014634146,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.39838065,0,0.5,0.28
pop6-3,Manaphy,0.184210526,0.2,0.006535948,0.47804878,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0.67643743,0,0.5,1.31
si1-2,Pidgeot,0.184210526,0,0.003267974,0.017560976,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0.904273855,0,0,26.18
ex11-3,Dragonite δ,0.263157895,0.4,0.006535948,0.145365854,1,1,0,0,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0.745106078,0,0.5,116.21
pl3-3,Drifblim FB,0.210526316,0.4,0.006535948,0.415609756,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.602849236,0,0.5,7.13
base3-3,Ditto,0.131578947,0.2,0.006535948,0.128780488,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.971917598,0,0.5,31.3
hgss1-3,Clefable,0.210526316,0.2,0.006535948,0.035121951,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0.584913396,0,0.5,6.22
ex13-2,Cradily δ,0.263157895,0.4,0.003267974,0.337560976,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0.726452803,0,0.5,9.88
hgss4-3,Celebi,0.184210526,0.2,0.006535948,0.244878049,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0.557650917,0,0.5,6.33
xy7-2,Gloom,0.210526316,0.2,0.003267974,0.042926829,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.379009942,0,0.333333333,0.14
bw10-2,Masquerain,0.210526316,0.2,0.003267974,0.277073171,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.45362304,0,0.5,0.51
ex7-3,Dark Crobat,0.236842105,0.2,0.006535948,0.164878049,1,1,0,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0.782412627,0,0.5,20
ex12-3,Cradily,0.263157895,0.4,0.006535948,0.337560976,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0.735574459,0,0.5,7.28
swsh35-2,Weedle,0.157894737,0.2,0.003267974,0.012682927,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.187250179,0,0.166666667,0.14
gym2-2,Blaine's Charizard,0.263157895,0.6,0.003267974,0.005853659,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0.933791124,0,0.5,524.03
xy2-3,Butterfree,0.342105263,0.2,0.006535948,0.011707317,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0.426360562,0,0.5,0.52
xy11-2,Tangrowth,0.342105263,0.8,0.003267974,0.453658537,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.342420826,0,0.333333333,0.14
det1-3,Morelull,0.131578947,0.2,0.006535948,0.736585366,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.242492569,0,0.166666667,0.26
ex3-3,Crawdaunt,0.210526316,0.4,0.006535948,0.333658537,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.817566875,0,0.5,6.84
dv1-3,Dragonair,0.184210526,0.4,0.006535948,0.144390244,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0.485702573,0,0.5,3.28
sm9-3,Weedle,0.131578947,0.2,0.006535948,0.012682927,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.248949472,0,0.166666667,0.13
pop7-2,Gallade,0.342105263,0.4,0.003267974,0.463414634,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0.657784155,0,0.5,7.86
sm1-2,Metapod,0.210526316,0.6,0.003267974,0.010731707,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.32356257,0,0.333333333,0.17
mcd19-3,Magmar,0.210526316,0.4,0.006535948,0.122926829,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.222711899,0,0,10.79
col1-2,Deoxys,0.210526316,0.2,0.003267974,0.376585366,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.547606846,0,0.5,14.34
pl1-3,Blaziken,0.342105263,0.2,0.006535948,0.250731707,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.622219945,0,0.5,12.12
sm115-2,Metapod,0.236842105,0.4,0.003267974,0.010731707,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.228143897,0,0.333333333,0.09
gym1-3,Erika's Clefable,0.184210526,0.4,0.006535948,0.035121951,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0.940248027,0,0.5,28.61
dp3-3,Charizard,0.342105263,0.6,0.006535948,0.005853659,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.670185508,0,0.5,126.8
sm2-1,Bellsprout,0.157894737,0.2,0,0.067317073,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.314235933,0,0.166666667,0.13
base5-1,Dark Alakazam,0.157894737,0.6,0,0.063414634,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0.951726965,0,0.5,56.8
xy4-1,Venonat,0.157894737,0.2,0,0.046829268,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.407707287,0,0.166666667,0.15
bw11-1,Tangela,0.184210526,0.4,0,0.111219512,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0.445013836,0,0.166666667,0.21
ex4-1,Team Aqua's Cacturne,0.210526316,0.4,0,0.323902439,1,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0.807522804,0,0.5,22.14
bw4-1,Pinsir,0.210526316,0.4,0,0.123902439,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.510300297,0,0.5,0.37
bw9-1,Weedle,0.131578947,0.2,0,0.012682927,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.463667111,0,0.166666667,0.27
base1-1,Alakazam,0.210526316,0.6,0,0.063414634,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,54.07
pop3-1,Blastoise,0.315789474,0.4,0,0.008780488,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0.729527519,0,0.5,65.14
dp4-1,Blaziken,0.342105263,0.2,0,0.250731707,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.66075638,0,0.5,15.73
bw7-1,Oddish,0.131578947,0.2,0,0.04195122,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0.482320385,0,0.166666667,0.4
ex8-1,Altaria,0.184210526,0.2,0,0.325853659,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0.772983499,0,0.5,5.47
bw5-1,Bulbasaur,0.157894737,0.4,0,0.00097561,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0.50097366,0,0.166666667,2.93
pop5-1,Ho-Oh,0.210526316,0.4,0,0.243902439,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.695295685,0,0.5,15.29
sm5-1,Exeggcute,0.131578947,0.2,0,0.099512195,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.286256021,0,0.166666667,0.14
xy10-1,Shuckle,0.210526316,0.2,0,0.207804878,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.351952444,0,0.333333333,0.23
sm8-1,Tangela,0.210526316,0.4,0,0.111219512,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.258276109,0,0.166666667,0.18
hgss2-1,Jirachi,0.157894737,0.2,0,0.375609756,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.575586758,0,0.5,14.93
dpp-DP01,Turtwig,0.157894737,0.4,0,0.377560976,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0.689043763,1,0.583333333,24.86
swsh1-1,Celebi V,0.473684211,0.2,0,0.244878049,1,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.210925489,0,0.666666667,1.34
swsh4-1,Weedle,0.105263158,0.2,0,0.012682927,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.182228144,0,0.166666667,0.06
xy1-1,Venusaur-EX,0.473684211,0.8,0,0.002926829,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.435687199,0,0.666666667,5.16
pop1-1,Blaziken,0.289473684,0.4,0,0.250731707,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.788664549,0,0.5,9.74
bw8-1,Turtwig,0.184210526,0.4,0,0.377560976,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0.472993748,0,0.166666667,0.5
base6-1,Alakazam,0.210526316,0.6,0,0.063414634,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.87383417,0,0.5,53.06
pop9-1,Garchomp,0.342105263,0,0,0.434146341,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0.620375115,0,0.5,13.45
pop4-1,Chimecho δ,0.157894737,0.2,0,0.349268293,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0.717023675,0,0.5,317
neo4-1,Dark Ampharos,0.184210526,0.4,0,0.176585366,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.882545865,0,0.5,79.4
neo3-1,Ampharos,0.236842105,0.6,0,0.176585366,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0.898944348,0,0.5,78.68
pl4-1,Charizard,0.368421053,0.6,0,0.005853659,0,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0.594957466,0,0.5,40.79
mcd19-4,Alolan Sandshrew,0.157894737,0.2,0.009803922,0.026341463,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.222711899,0,0,4.4
sm115-3,Butterfree,0.342105263,0.2,0.006535948,0.011707317,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.228143897,0,0.5,0.22
base3-4,Dragonite,0.263157895,0.2,0.009803922,0.145365854,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.971917598,0,0.5,141.82
ex9-3,Exploud,0.315789474,0.4,0.006535948,0.287804878,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0.763861843,0,0.5,8.25
pop7-3,Latias,0.210526316,0.2,0.006535948,0.370731707,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0.657784155,0,0.5,12.05
pop6-4,Pachirisu,0.184210526,0.2,0.009803922,0.406829268,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0.67643743,0,0.5,2.57
det1-4,Charmander,0.157894737,0.2,0.009803922,0.003902439,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.242492569,0,0.166666667,0.46
ex4-2,Team Aqua's Crawdaunt,0.210526316,0.2,0.003267974,0.333658537,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0.807522804,0,0.5,15.37
hgss1-4,Gyarados,0.342105263,0.6,0.009803922,0.126829268,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0.584913396,0,0.5,14.56
xy1-2,M Venusaur-EX,0.605263158,0.8,0.003267974,0.002926829,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.435687199,0,0.666666667,20.92
ex8-2,Beautifly,0.263157895,0.2,0.003267974,0.260487805,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.772983499,0,0.5,11.99
bw5-2,Ivysaur,0.236842105,0.6,0.003267974,0.00195122,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0.50097366,0,0.333333333,9.23
dpp-DP02,Chimchar,0.131578947,0.2,0.003267974,0.380487805,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.689043763,1,0.583333333,12.61
sm2-2,Weepinbell,0.210526316,0.4,0.003267974,0.068292683,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.314235933,0,0.333333333,0.16
pop4-2,Deoxys δ,0.184210526,0.2,0.003267974,0.376585366,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.717023675,0,0.5,33.01
bw7-2,Gloom,0.210526316,0.2,0.003267974,0.042926829,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0.482320385,0,0.333333333,0.3
xy4-2,Venomoth,0.236842105,0.2,0.003267974,0.047804878,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.407707287,0,0.5,0.62
col1-3,Dialga,0.263157895,0.6,0.006535948,0.471219512,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0.547606846,0,0.5,9.75
ex12-4,Delcatty,0.210526316,0.2,0.009803922,0.293658537,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0.735574459,0,0.5,9.17
bw11-2,Tangrowth,0.315789474,0.8,0.003267974,0.453658537,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0.445013836,0,0.5,0.24
pl1-4,Delcatty,0.236842105,0.2,0.009803922,0.293658537,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0.622219945,0,0.5,5.59
swsh35-3,Kakuna,0.210526316,0.6,0.006535948,0.013658537,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.187250179,0,0.166666667,0.07
base5-2,Dark Arbok,0.157894737,0.4,0.003267974,0.023414634,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0.951726965,0,0.5,12.37
neo4-2,Dark Crobat,0.184210526,0,0.003267974,0.164878049,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.882545865,0,0.5,97.96
ex3-4,Flygon,0.315789474,0.4,0.009803922,0.32195122,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0.817566875,0,0.5,44.96
xy2-4,Pineco,0.157894737,0.4,0.009803922,0.19902439,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.426360562,0,0.166666667,0.14
pop5-2,Lugia,0.210526316,0.4,0.003267974,0.242926829,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0.695295685,0,0.5,100
base6-2,Articuno,0.184210526,0.4,0.003267974,0.140487805,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0.87383417,0,0.5,38.71
dv1-4,Dragonair,0.184210526,0.4,0.009803922,0.144390244,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0.485702573,0,0.5,6.38
ex11-4,Espeon δ,0.184210526,0.2,0.009803922,0.191219512,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0.745106078,0,0.5,120.93
dp4-2,Cresselia,0.210526316,0.2,0.003267974,0.476097561,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0.66075638,0,0.5,9.11
dp1-2,Dusknoir,0.315789474,0.6,0.003267974,0.465365854,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.689043763,0,0.5,9.88
gym2-3,Brock's Ninetales,0.184210526,0.2,0.006535948,0.037073171,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.933791124,0,0.5,67.32
pop1-2,Metagross,0.263157895,0.6,0.003267974,0.366829268,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0.788664549,0,0.5,4.89
si1-3,Onix,0.236842105,0.6,0.006535948,0.092682927,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0.904273855,0,0,27.95
dp3-4,Entei,0.210526316,0.4,0.009803922,0.23804878,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.670185508,0,0.5,29.48
base4-4,Charizard,0.315789474,0.6,0.009803922,0.005853659,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.957876396,0,0.5,313.38
pl4-2,Froslass,0.210526316,0.2,0.003267974,0.466341463,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.594957466,0,0.5,3.76
bw8-2,Grotle,0.263157895,0.6,0.003267974,0.378536585,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.472993748,0,0.333333333,0.44
pop3-2,Flareon,0.184210526,0.2,0.003267974,0.132682927,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.729527519,0,0.5,8.59
